number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g,params_optimizer_d,params_optimizer_g
52,233.25009977511908,COMPLETE,64,0.1494314446137104,0.30003626227176716,0.7731411686385878,0.9377545398878925,0.00113893090668686,0.005680696151050995,sgd,adam
53,408.13677674505175,COMPLETE,64,0.35980728190917627,0.17836435864669611,0.7222994035756726,0.888445499309229,0.0006260683217533514,0.0080877495633727,adam,adam
54,303.70202615307136,COMPLETE,64,0.233892124886102,0.5025583966651084,0.8056151573803648,0.8518385302562398,0.001934190635786476,0.008708009968981467,sgd,sgd
55,365.9842309778232,COMPLETE,64,0.2949190116112016,0.5904808303010909,0.6268156084297167,0.9231286819510313,0.006304759176216207,0.009181252183544535,sgd,adam
56,240.56036544870278,COMPLETE,64,0.2236864179880425,0.5560529204393706,0.7406696720821915,0.9969248195555636,0.000598101797301897,0.008936820850433352,sgd,adam
57,216.99296456681415,COMPLETE,64,0.08763079604584655,0.5206813188426516,0.6639610160958428,0.9512606735864679,0.0011811788872126514,0.009674429740916531,sgd,adam
58,262.69676614916386,COMPLETE,64,0.2754388274674507,0.6459806647842431,0.6906965474711225,0.971905592733864,0.0005315932866495134,0.009128681861939403,sgd,adam
59,252.58540374340095,COMPLETE,32,0.18168788618449688,0.5522683107016552,0.7547833962158218,0.9865207228778172,0.0015094984710736661,0.00989390818525894,sgd,adam
60,343.1263087251512,COMPLETE,64,0.5149547192589785,0.4719865047941641,0.7820610060196841,0.9766323858507143,0.0009147547532746288,0.0026600655069407503,adam,adam
61,399.35983968310586,COMPLETE,64,0.6265603579203747,0.3712842576139275,0.710478676045047,0.9395132398069573,2.890681741874921e-05,0.008486596366041294,sgd,adam
