number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g,params_optimizer_d,params_optimizer_g
23,363.4401654839273,COMPLETE,32,0.8769972891493227,0.597170163055512,0.5432956926038744,0.5336225951885044,0.0005753058085968144,0.005756455544638042,sgd,adam
24,403.02571603259656,COMPLETE,32,0.7951584137169865,0.7649275192473661,0.5462790017212441,0.5341306524387942,0.002405879722979645,0.0070230817227557585,sgd,adam
25,365.90954710123947,COMPLETE,32,0.8884639110808901,0.5259244526568789,0.6302891774755804,0.5022070017477901,0.000955051714161306,0.008494278670583964,sgd,adam
26,414.5612353688961,COMPLETE,32,0.9267399225790771,0.6539034233726421,0.5032710876356883,0.6128057990744141,0.0008020917883742579,0.0031208434508212196,sgd,adam
27,470.93389510170164,COMPLETE,64,0.6938521914829722,0.7038817208276388,0.573194077736912,0.5411776405842972,0.0024502871719210405,0.006400681042657561,sgd,adam
28,448.43782168260964,COMPLETE,32,0.8196751557555065,0.9833955843244561,0.6899087996606104,0.5947341753334859,4.291859373123492e-05,0.007842484043425323,adam,adam
29,425.47674163974744,COMPLETE,32,0.3697641932667596,0.8077397037019282,0.6257999156340539,0.5418572885825389,0.004035618165739489,0.004758548461910471,sgd,adam
30,410.8477226719021,COMPLETE,32,0.6962036193241625,0.5757005326574465,0.541323077367051,0.6654425965907179,0.00577285521286309,0.0022858757129359565,sgd,adam
31,433.5108473386159,COMPLETE,32,0.26403287516245505,0.4306156498651037,0.6611278597153846,0.6394283545213395,0.0030218359764213835,0.009068927480911815,adam,adam
32,417.7056593844195,COMPLETE,64,0.831298047894772,0.44362495884981085,0.742464045978887,0.5306416569437997,0.009679645363410441,0.007373402985831558,sgd,adam
33,486.30441236446467,COMPLETE,32,0.985389386339094,0.6179024870038092,0.507716134698378,0.5157143174624971,0.0004710609614997077,0.009893112718925377,sgd,adam
34,489.9048854405519,COMPLETE,32,0.9228962675898812,0.6480918509601767,0.535409533353285,0.5008018256353176,0.001120083277235703,0.0012350611943003267,sgd,adam
35,392.8666975159592,COMPLETE,32,0.9405888248044357,0.5651750606546442,0.5982908150737725,0.5617669923810609,0.0019185595026472236,0.00929320956886881,sgd,adam
36,445.40940524406943,COMPLETE,32,0.7491449327894936,0.495481253805948,0.5025809213587528,0.5559654076035621,0.0002498312774790456,0.008972969895626211,sgd,sgd
37,484.1645459779362,COMPLETE,32,0.9846950916786501,0.7617937126896352,0.5676503633727933,0.5928246339585381,0.0017511307193947545,0.005113032634358801,adam,adam
38,424.22858037675996,COMPLETE,32,0.8496163279557153,0.688991604521736,0.6859966851577964,0.5018258023413984,0.0008922420757173468,0.00621921806862769,sgd,sgd
39,415.74798961730255,COMPLETE,64,0.6183400312140392,0.3878012071812734,0.7950327774013708,0.6920107729533843,0.004730159452170795,0.005266134973604523,sgd,adam
40,481.3861665100435,COMPLETE,128,0.7806717265294743,0.2842139142228548,0.5186331546866424,0.7908283593472027,0.005231343899498641,0.0008025362201429375,adam,adam
41,527.3922193884888,COMPLETE,32,0.9219137380526173,0.47916044286538717,0.6082672730868696,0.5278302157492015,0.006558059234256683,0.003996575584215898,sgd,sgd
42,411.69521338216236,COMPLETE,128,0.1525595043539375,0.5491992916958038,0.5277540583640487,0.5559643077386434,0.0029286116368797788,0.007786377838729504,sgd,adam
43,313.18415564884026,COMPLETE,32,0.8716230273478002,0.612938099817863,0.5613036444704472,0.528171495201116,0.0006094060159744575,0.005712467170942896,sgd,adam
44,448.38995135945197,COMPLETE,32,0.9137645422439918,0.6205737895081737,0.5619298056921536,0.5281730867095099,0.001175554385414626,0.005418425690273606,sgd,adam
45,323.58479789027894,COMPLETE,32,0.8593272696365124,0.6329764461690306,0.5291861000100193,0.5876117771533972,0.0004214297760784195,0.006216582760270329,sgd,adam
46,282.48262802263747,COMPLETE,32,0.7136707569515914,0.7149523388577462,0.6006247332367561,0.5959167890899661,0.0006227310131121604,0.006333441385415705,sgd,adam
47,472.3784231640887,COMPLETE,64,0.6357357214053502,0.789511480617537,0.6565559829425671,0.6346638241348581,0.002198394882700455,0.0060169525902996086,sgd,sgd
48,474.30857896121614,COMPLETE,128,0.7232675112305771,0.8524115205293332,0.6047648915991811,0.6765911716837968,0.0013436425783349471,0.004287043034283739,adam,adam
49,464.6192593515438,COMPLETE,32,0.5633825355435546,0.7297402161735789,0.5919472182487244,0.5945770161946782,0.0006162492132782329,0.006734624969824212,sgd,adam
50,498.07467326240555,COMPLETE,32,0.6583132148009393,0.9009754774436085,0.6199491944078672,0.7082905423597265,0.008682835121090506,0.00554250778946286,sgd,adam
51,507.9319974220434,COMPLETE,32,0.7700818216972777,0.05040426284311861,0.6460251098452429,0.585065031654229,0.0014979096937856634,0.007344868191998749,sgd,adam
52,419.7113714453461,COMPLETE,32,0.8512358170677131,0.7167320404065026,0.5684489996696027,0.7587811118990022,3.4037479327861365e-05,0.006387499541449365,sgd,sgd
53,313.4126437365196,COMPLETE,32,0.7916921551936499,0.6544563221173313,0.5292207893391394,0.5645168036879568,0.0005576013953608192,0.006536106968488931,sgd,adam
54,331.7355048273926,COMPLETE,32,0.7940814364820241,0.6897109042157802,0.5335870672024355,0.5683128547099305,0.0006348489790295645,0.005982393565884868,sgd,adam
55,451.27704201108116,COMPLETE,32,0.7116434579611667,0.6587393738037725,0.5858145650662793,0.6199719610663472,0.0009923199561097129,0.007080222574985847,sgd,adam
56,373.448801402295,COMPLETE,32,0.8479755231627997,0.5925022783626175,0.5549923004324565,0.8781407772624494,0.00038988753541532227,0.00804166483896107,sgd,adam
57,441.0936682673143,COMPLETE,32,0.75262385880096,0.5314061821038925,0.8883526981891051,0.6041282801785655,0.0018690745996784708,0.006701314069086186,sgd,adam
58,403.961404586473,COMPLETE,32,0.8851129175219304,0.4810433621563114,0.5224307366562877,0.5569940075583669,0.003840411084745719,0.003674873026336892,sgd,adam
59,409.91383785058866,COMPLETE,128,0.8043880099846308,0.6618748994562786,0.7103791910633326,0.6501379629956002,0.0016279904298100458,0.00567189929426704,sgd,adam
60,381.70833175100455,COMPLETE,32,0.6756634267453712,0.7462036461369792,0.6167318978846258,0.5790084103881371,0.0012519278054758606,0.0047539327431675585,sgd,adam
61,441.46917931029463,COMPLETE,64,0.596479502159542,0.808266780708031,0.5776855749369376,0.6305700153684057,0.0033954477402688595,0.006998285040825308,adam,adam
62,424.18575645535327,COMPLETE,32,0.9445657502404995,0.6170674183480174,0.5550788738084935,0.545016592273452,0.0006663395037732841,0.007649035083770146,sgd,adam
