number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g
16,428.3723228071546,COMPLETE,32,0.02995712191966822,0.26981766785448325,0.8710500841691043,0.8939423546280568,0.004472001654591289,0.004765177750914982
17,452.0574560085305,COMPLETE,32,0.7241361523991835,0.27802095764209683,0.899836602325236,0.7868231816967941,0.00491384655805549,0.0036359310302906244
18,392.71403360269903,COMPLETE,32,0.4694297146890199,0.5698337085897042,0.9843510517473926,0.5968256439599126,0.002306509639563358,0.008428615570738356
19,297.5867967238533,COMPLETE,32,0.05002410376777078,0.21423866474740016,0.7649785030856159,0.6816116349930742,0.00031015760945238193,0.005371977414945994
20,607.8684443925376,COMPLETE,64,0.06203511000252421,0.21948172127245955,0.7589861592731287,0.6810587126289652,0.0006733410729899561,0.005066494467267671
21,395.20592782891043,COMPLETE,32,0.15128396370890268,0.39848732062772324,0.8005889863745833,0.5084728999273819,0.0025771428960471095,0.005268260980600502
22,388.35912182376126,COMPLETE,32,0.0037146953085718873,0.16421075099478047,0.9212200749846621,0.5788920013544486,0.001088030405069505,0.004113896089796891
23,397.5196595824433,COMPLETE,32,0.2065561218009548,0.3329840410818302,0.7392345244284354,0.9287985425124335,0.0058356600158839325,0.006668136595075084
24,414.13553852485586,COMPLETE,32,0.10422176344692642,0.49728022298480257,0.7899643481676399,0.8480823661696901,0.004321459407931592,0.0031612774714535213
25,188.8390959300351,COMPLETE,32,0.40320509115217174,0.4961774151948016,0.8840975111628688,0.6672895821551265,6.832093667659758e-05,0.004685430936533053
26,260.4907498996254,COMPLETE,32,0.40164504767960296,0.4798243405117336,0.8896525454891937,0.6823016058536643,0.0003400737728121127,0.0044836743084036975
27,400.44669492110665,COMPLETE,32,0.39542361510374524,0.4660137526670556,0.9474364955192424,0.6890484961132073,1.3249642561025738e-05,0.0019343599108715345
28,433.95977512186266,COMPLETE,32,0.39146806888731794,0.7047998261633704,0.848175551273522,0.6283685523681382,0.0009595521281328141,0.005703059563378837
29,501.60372670525965,COMPLETE,64,0.5198842750322229,0.484001397020148,0.7220990498820625,0.7590994687004431,0.0017000098876166951,0.0025432092909837456
30,382.84968017182854,COMPLETE,128,0.2634483588840678,0.34607593381020396,0.906116770140596,0.6937490428684245,3.527383093354479e-05,0.004247968909103765
31,468.35995774085745,COMPLETE,32,0.07352450992605086,0.023584864801522193,0.8780761885253171,0.7376315802337212,0.0010142134209093782,0.0046388158434203745
32,405.7041696076192,COMPLETE,32,0.22686329313229348,0.23138724394914875,0.8683926745011054,0.6307993764725369,0.0024253301368519437,0.0032540290582710055
33,468.53088076446727,COMPLETE,32,0.3448956996356576,0.16059053640503634,0.9492737344427786,0.6678456389854303,0.0005594823754719964,0.00560829978224903
34,478.19481243927646,COMPLETE,32,0.09849528155549575,0.3234042924559715,0.8939432180253664,0.8067077703360054,0.00955907464483941,0.004468414866418554
35,482.7113639554505,COMPLETE,128,0.33899163967718327,0.5345518271412116,0.8511300894980638,0.7103210220798064,0.0016952176322923332,0.0024506785363337127
36,427.66931621798915,COMPLETE,32,0.13728253883034175,0.43173188439081767,0.9989508494158347,0.5661794432597992,0.001412699209242912,0.003528757423968542
37,384.6851008987111,COMPLETE,64,0.41551348751088296,0.3705271423706372,0.5242279765225952,0.9980215872842422,0.008381191581501218,0.005876613243718851
38,436.04180837608834,COMPLETE,128,0.23524570639718853,0.635558470598272,0.6524990196259075,0.6487561825186109,0.002751165215954837,0.005198237704996549
39,379.7279589602,COMPLETE,32,0.6627575860539845,0.07074638237568337,0.8450945540045589,0.7564545596245944,0.0019407603150562636,0.005896993501462754
40,473.06032510268324,COMPLETE,32,0.1683271403903731,0.14711486354732167,0.940754584654179,0.7033324535087564,0.006222206632393449,0.0073307970012535945
41,468.05063673258985,COMPLETE,32,0.5438683848531307,0.6207812534200977,0.8289771008688327,0.613795670460372,0.000562736219694461,0.0064092656417895615
42,400.41964034128824,COMPLETE,32,0.605841518267509,0.7456108810877236,0.8118819385668743,0.6592443872135512,0.004118380255035042,0.007166239927375312
43,497.61563844634605,COMPLETE,32,0.4388913884165305,0.5178565718412226,0.7707870359002886,0.5511538733915013,0.0029287348374536755,0.005335245182755615
44,432.7344005831893,COMPLETE,32,0.8642951254870925,0.5751537068917828,0.7393164020527219,0.59750299046801,0.005189971928330583,0.006272441420429966
